League,Matchdate,Hometeam,Awayteam
E3,15/10/16 15:00,Accrington,Blackpool
E3,29/10/16 15:00,Accrington,Newport
E3,19/11/16 15:00,Accrington,Stevenage
E3,26/11/16 15:00,Accrington,Yeovil
E3,17/12/16 15:00,Accrington,Plymouth
E3,02/01/17 15:00,Accrington,Hartlepool
E3,07/01/17 15:00,Accrington,Cambridge Utd
E3,21/01/17 15:00,Accrington,Carlisle
E3,04/02/17 15:00,Accrington,Notts County
E3,18/02/17 15:00,Accrington,Colchester
E3,28/02/17 19:45,Accrington,Wycombe
E3,04/03/17 15:00,Accrington,Barnet
E3,14/03/17 19:45,Accrington,Leyton Orient
E3,25/03/17 15:00,Accrington,Grimsby
E3,08/04/17 15:00,Accrington,Crewe
E3,17/04/17 15:00,Accrington,Crawley Town
E3,29/04/17 15:00,Accrington,Luton
E2,15/10/16 15:00,AFC Wimbledon,Swindon
E2,29/10/16 15:00,AFC Wimbledon,Bradford
E2,19/11/16 15:00,AFC Wimbledon,Bury
E2,26/11/16 15:00,AFC Wimbledon,Fleetwood
E2,17/12/16 15:00,AFC Wimbledon,Port Vale
E2,02/01/17 15:00,AFC Wimbledon,Millwall
E2,14/01/17 15:00,AFC Wimbledon,Oxford Utd
E2,28/01/17 15:00,AFC Wimbledon,Rochdale
E2,11/02/17 15:00,AFC Wimbledon,Charlton
E2,14/02/17 19:45,AFC Wimbledon,Coventry
E2,25/02/17 15:00,AFC Wimbledon,Walsall
E2,11/03/17 15:00,AFC Wimbledon,Northampton
E2,14/03/17 19:45,AFC Wimbledon,Milton Keynes
E2,25/03/17 15:00,AFC Wimbledon,Southend
E2,08/04/17 15:00,AFC Wimbledon,Bristol Rovers
E2,17/04/17 15:00,AFC Wimbledon,Peterborough
E2,30/04/17 12:00,AFC Wimbledon,Oldham
E0,22/10/16 15:00,Arsenal,Middlesbrough
E0,06/11/16 12:00,Arsenal,Tottenham
E0,27/11/16 14:15,Arsenal,Bournemouth
E0,10/12/16 15:00,Arsenal,Stoke
E0,26/12/16 15:00,Arsenal,West Brom
E0,31/12/16 15:00,Arsenal,Crystal Palace
E0,21/01/17 15:00,Arsenal,Burnley
E0,31/01/17 19:45,Arsenal,Watford
E0,11/02/17 15:00,Arsenal,Hull
E0,11/03/17 15:00,Arsenal,Leicester
E0,01/04/17 15:00,Arsenal,Manchester City
E0,04/04/17 19:45,Arsenal,West Ham
E0,22/04/17 15:00,Arsenal,Sunderland
E0,06/05/17 15:00,Arsenal,Manchester Utd
E0,21/05/17 15:00,Arsenal,Everton
E1,15/10/16 17:30,Aston Villa,Wolves
E1,22/10/16 15:00,Aston Villa,Fulham
E1,05/11/16 15:00,Aston Villa,Blackburn
E1,26/11/16 15:00,Aston Villa,Cardiff
E1,10/12/16 15:00,Aston Villa,Wigan
E1,26/12/16 15:00,Aston Villa,Burton
E1,29/12/16 19:45,Aston Villa,Leeds
E1,21/01/17 15:00,Aston Villa,Preston
E1,28/01/17 15:00,Aston Villa,Bristol City
E1,11/02/17 15:00,Aston Villa,Ipswich
E1,14/02/17 19:45,Aston Villa,Barnsley
E1,25/02/17 15:00,Aston Villa,Derby
E1,11/03/17 15:00,Aston Villa,Sheffield Wed
E1,01/04/17 15:00,Aston Villa,Norwich
E1,04/04/17 19:45,Aston Villa,QPR
E1,15/04/17 15:00,Aston Villa,Reading
E1,23/04/17 12:00,Aston Villa,Birmingham
E1,07/05/17 12:00,Aston Villa,Brighton
E3,15/10/16 15:00,Barnet,Exeter
E3,29/10/16 15:00,Barnet,Hartlepool
E3,19/11/16 15:00,Barnet,Crewe
E3,26/11/16 15:00,Barnet,Notts County
E3,17/12/16 15:00,Barnet,Stevenage
E3,02/01/17 15:00,Barnet,Plymouth
E3,14/01/17 15:00,Barnet,Doncaster
E3,21/01/17 15:00,Barnet,Newport
E3,04/02/17 15:00,Barnet,Mansfield
E3,18/02/17 15:00,Barnet,Portsmouth
E3,25/02/17 15:00,Barnet,Cambridge Utd
E3,11/03/17 15:00,Barnet,Crawley Town
E3,14/03/17 20:00,Barnet,Yeovil
E3,25/03/17 15:00,Barnet,Cheltenham
E3,08/04/17 15:00,Barnet,Luton
E3,17/04/17 15:00,Barnet,Wycombe
E3,29/04/17 15:00,Barnet,Grimsby
E1,15/10/16 15:00,Barnsley,Fulham
E1,18/10/16 19:45,Barnsley,Newcastle
E1,29/10/16 15:00,Barnsley,Bristol City
E1,19/11/16 15:00,Barnsley,Wigan
E1,25/11/16 19:45,Barnsley,Nottingham
E1,10/12/16 15:00,Barnsley,Norwich
E1,26/12/16 15:00,Barnsley,Blackburn
E1,31/12/16 15:00,Barnsley,Birmingham
E1,21/01/17 15:00,Barnsley,Leeds
E1,31/01/17 19:45,Barnsley,Wolves
E1,04/02/17 15:00,Barnsley,Preston
E1,18/02/17 15:00,Barnsley,Brighton
E1,25/02/17 15:00,Barnsley,Huddersfield
E1,11/03/17 15:00,Barnsley,Ipswich
E1,01/04/17 15:00,Barnsley,Sheffield Wed
E1,04/04/17 19:45,Barnsley,Cardiff
E1,17/04/17 15:00,Barnsley,Brentford
E1,29/04/17 15:00,Barnsley,Burton
E1,18/10/16 19:45,Birmingham,Rotherham
E1,30/10/16 12:00,Birmingham,Aston Villa
E1,19/11/16 15:00,Birmingham,Bristol City
E1,03/12/16 15:00,Birmingham,Barnsley
E1,13/12/16 19:45,Birmingham,Ipswich
E1,17/12/16 17:30,Birmingham,Brighton
E1,02/01/17 15:00,Birmingham,Brentford
E1,14/01/17 15:00,Birmingham,Nottingham
E1,31/01/17 19:45,Birmingham,Reading
E1,04/02/17 15:00,Birmingham,Fulham
E1,18/02/17 15:00,Birmingham,QPR
E1,04/03/17 15:00,Birmingham,Leeds
E1,07/03/17 19:45,Birmingham,Wigan
E1,18/03/17 15:00,Birmingham,Newcastle
E1,08/04/17 15:00,Birmingham,Derby
E1,17/04/17 15:00,Birmingham,Burton
E1,29/04/17 15:00,Birmingham,Huddersfield
E1,15/10/16 15:00,Blackburn,Ipswich
E1,18/10/16 19:45,Blackburn,Nottingham
E1,29/10/16 17:30,Blackburn,Wolves
E1,19/11/16 15:00,Blackburn,Brentford
E1,03/12/16 15:00,Blackburn,Huddersfield
E1,13/12/16 19:45,Blackburn,Brighton
E1,17/12/16 15:00,Blackburn,Reading
E1,02/01/17 15:00,Blackburn,Newcastle
E1,21/01/17 15:00,Blackburn,Birmingham
E1,01/02/17 19:45,Blackburn,Leeds
E1,04/02/17 15:00,Blackburn,QPR
E1,18/02/17 15:00,Blackburn,Derby
E1,04/03/17 15:00,Blackburn,Wigan
E1,07/03/17 19:45,Blackburn,Cardiff
E1,18/03/17 13:00,Blackburn,Preston
E1,08/04/17 15:00,Blackburn,Barnsley
E1,17/04/17 15:00,Blackburn,Bristol City
E1,29/04/17 15:00,Blackburn,Aston Villa
E3,22/10/16 15:00,Blackpool,Doncaster
E3,12/11/16 15:00,Blackpool,Notts County
E3,26/11/16 15:00,Blackpool,Newport
E3,17/12/16 15:00,Blackpool,Luton
E3,02/01/17 15:00,Blackpool,Mansfield
E3,07/01/17 15:00,Blackpool,Crawley Town
E3,21/01/17 15:00,Blackpool,Yeovil
E3,04/02/17 15:00,Blackpool,Colchester
E3,18/02/17 15:00,Blackpool,Crewe
E3,28/02/17 19:45,Blackpool,Barnet
E3,04/03/17 15:00,Blackpool,Morecambe
E3,14/03/17 19:45,Blackpool,Stevenage
E3,25/03/17 15:00,Blackpool,Hartlepool
E3,08/04/17 15:00,Blackpool,Grimsby
E3,14/04/17 15:00,Blackpool,Accrington
E3,22/04/17 15:00,Blackpool,Cheltenham
E3,06/05/17 15:00,Blackpool,Leyton Orient
E2,15/10/16 15:00,Bolton,Oldham
E2,29/10/16 15:00,Bolton,Port Vale
E2,19/11/16 15:00,Bolton,Millwall
E2,22/11/16 20:00,Bolton,Coventry
E2,12/12/16 20:00,Bolton,Gillingham FC
E2,26/12/16 15:00,Bolton,Shrewsbury
E2,31/12/16 15:00,Bolton,Scunthorpe
E2,14/01/17 15:00,Bolton,Swindon
E2,28/01/17 15:00,Bolton,Charlton
E2,11/02/17 15:00,Bolton,Walsall
E2,14/02/17 20:00,Bolton,Rochdale
E2,28/02/17 20:00,Bolton,Bristol Rovers
E2,04/03/17 15:00,Bolton,AFC Wimbledon
E2,18/03/17 15:00,Bolton,Northampton
E2,01/04/17 15:00,Bolton,Chesterfield
E2,18/04/17 20:00,Bolton,Bury
E2,30/04/17 12:00,Bolton,Peterborough
E0,15/10/16 15:00,Bournemouth,Hull
E0,22/10/16 12:30,Bournemouth,Tottenham
E0,05/11/16 15:00,Bournemouth,Sunderland
E0,03/12/16 15:00,Bournemouth,Liverpool
E0,13/12/16 19:45,Bournemouth,Leicester
E0,17/12/16 15:00,Bournemouth,Southampton
E0,02/01/17 15:00,Bournemouth,Arsenal
E0,21/01/17 15:00,Bournemouth,Watford
E0,31/01/17 19:45,Bournemouth,Crystal Palace
E0,11/02/17 15:00,Bournemouth,Manchester City
E0,11/03/17 15:00,Bournemouth,West Ham
E0,18/03/17 15:00,Bournemouth,Swansea
E0,08/04/17 15:00,Bournemouth,Chelsea
E0,22/04/17 15:00,Bournemouth,Middlesbrough
E0,06/05/17 15:00,Bournemouth,Stoke
E0,13/05/17 15:00,Bournemouth,Burnley
E2,18/10/16 19:45,Bradford,Southend
E2,22/10/16 15:00,Bradford,Sheffield Utd
E2,12/11/16 15:00,Bradford,Rochdale
E2,22/11/16 19:45,Bradford,Northampton
E2,10/12/16 15:00,Bradford,Charlton
E2,26/12/16 15:00,Bradford,Scunthorpe
E2,31/12/16 15:00,Bradford,Bury
E2,07/01/17 15:00,Bradford,Chesterfield
E2,21/01/17 15:00,Bradford,Millwall
E2,04/02/17 15:00,Bradford,Gillingham FC
E2,18/02/17 15:00,Bradford,Bolton
E2,28/02/17 19:45,Bradford,Milton Keynes
E2,04/03/17 15:00,Bradford,Peterborough
E2,18/03/17 15:00,Bradford,Swindon
E2,01/04/17 15:00,Bradford,Walsall
E2,14/04/17 15:00,Bradford,Oxford Utd
E2,22/04/17 15:00,Bradford,AFC Wimbledon
E1,22/10/16 15:00,Brentford,Barnsley
E1,04/11/16 19:45,Brentford,Fulham
E1,26/11/16 15:00,Brentford,Birmingham
E1,10/12/16 15:00,Brentford,Burton
E1,26/12/16 13:00,Brentford,Cardiff
E1,31/12/16 17:30,Brentford,Norwich
E1,14/01/17 15:00,Brentford,Newcastle
E1,31/01/17 19:45,Brentford,Aston Villa
E1,04/02/17 15:00,Brentford,Brighton
E1,18/02/17 15:00,Brentford,Wolves
E1,25/02/17 15:00,Brentford,Rotherham
E1,11/03/17 15:00,Brentford,Huddersfield
E1,01/04/17 15:00,Brentford,Bristol City
E1,04/04/17 19:45,Brentford,Leeds
E1,14/04/17 15:00,Brentford,Derby
E1,22/04/17 15:00,Brentford,QPR
E1,07/05/17 12:00,Brentford,Blackburn
E1,15/10/16 15:00,Brighton,Preston
E1,18/10/16 19:45,Brighton,Wolves
E1,29/10/16 15:00,Brighton,Norwich
E1,18/11/16 19:45,Brighton,Aston Villa
E1,26/11/16 15:00,Brighton,Fulham
E1,09/12/16 19:45,Brighton,Leeds
E1,27/12/16 12:30,Brighton,QPR
E1,30/12/16 19:45,Brighton,Cardiff
E1,21/01/17 15:00,Brighton,Sheffield Wed
E1,28/01/17 15:00,Brighton,Newcastle
E1,11/02/17 15:00,Brighton,Burton
E1,14/02/17 19:45,Brighton,Ipswich
E1,25/02/17 15:00,Brighton,Reading
E1,11/03/17 15:00,Brighton,Derby
E1,01/04/17 15:00,Brighton,Blackburn
E1,04/04/17 19:45,Brighton,Birmingham
E1,17/04/17 15:00,Brighton,Wigan
E1,29/04/17 15:00,Brighton,Bristol City
E1,22/10/16 15:00,Bristol City,Blackburn
E1,05/11/16 17:30,Bristol City,Brighton
E1,03/12/16 15:00,Bristol City,Ipswich
E1,13/12/16 19:45,Bristol City,Brentford
E1,17/12/16 15:00,Bristol City,Preston
E1,02/01/17 15:00,Bristol City,Reading
E1,14/01/17 15:00,Bristol City,Cardiff
